Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
STM-2485,Chrome 119.0.0.0,,,2023-11-14 10:29:38,2023-11-14 10:32:37,2m - 59.091s,PASSED
,,,,,,,
Test Cases/Concession-Managment/STM-2485/STM-2485-Iteration1,Chrome 119.0.0.0,,,2023-11-14 10:29:38,2023-11-14 10:31:11,1m - 32.685s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-14 10:29:39,2023-11-14 10:29:41,2.883s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-14 10:29:41,2023-11-14 10:29:42,0.175s,PASSED
"navigateToUrl(""https://southeastwater--full2.sandbox.lightning.force.com/lightning/page/home"")",Chrome 119.0.0.0,,,2023-11-14 10:29:42,2023-11-14 10:29:42,0.712s,PASSED
"waitForPageLoad(10, STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-14 10:29:42,2023-11-14 10:29:43,0.425s,PASSED
"click(findTestObject(""Page_Login  Salesforce/Input-Username""))",Chrome 119.0.0.0,,,2023-11-14 10:29:43,2023-11-14 10:29:44,0.884s,PASSED
"setText(findTestObject(""Page_Login  Salesforce/input-username-Text""), ""hamid.samavat@kjr.com.au"")",Chrome 119.0.0.0,,,2023-11-14 10:29:44,2023-11-14 10:29:44,0.768s,PASSED
"click(findTestObject(""Page_Login  Salesforce/input-username-next""))",Chrome 119.0.0.0,,,2023-11-14 10:29:44,2023-11-14 10:29:45,0.383s,PASSED
"click(findTestObject(""Page_Login  Salesforce/input_Password_pw""))",Chrome 119.0.0.0,,,2023-11-14 10:29:45,2023-11-14 10:29:46,1.271s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login  Salesforce/input_Password_pw""), ""1SfOns6koWoi404fwi/OCQ=="")",Chrome 119.0.0.0,,,2023-11-14 10:29:46,2023-11-14 10:29:47,0.458s,PASSED
"click(findTestObject(""Object Repository/Page_Login  Salesforce/input_Password_Login""))",Chrome 119.0.0.0,,,2023-11-14 10:29:47,2023-11-14 10:29:47,0.938s,PASSED
delay(15),Chrome 119.0.0.0,,,2023-11-14 10:29:47,2023-11-14 10:30:03,15.080s,PASSED
"click(findTestObject(""Page_Login  Salesforce/Yes button""))",Chrome 119.0.0.0,,,2023-11-14 10:30:03,2023-11-14 10:30:07,4.620s,PASSED
"click(findTestObject(""home page/Gear icon""))",Chrome 119.0.0.0,,,2023-11-14 10:30:07,2023-11-14 10:30:09,2.339s,PASSED
"click(findTestObject(""home page/Setup""))",Chrome 119.0.0.0,,,2023-11-14 10:30:09,2023-11-14 10:30:10,0.560s,PASSED
"click(findTestObject(""Home-Setup/Search""))",Chrome 119.0.0.0,,,2023-11-14 10:30:10,2023-11-14 10:30:12,2.216s,PASSED
switchToWindowIndex(1),Chrome 119.0.0.0,,,2023-11-14 10:30:12,2023-11-14 10:30:12,0.131s,PASSED
"setText(findTestObject(""Home-Setup/Search-add-values""), ""Diana Turney"")",Chrome 119.0.0.0,,,2023-11-14 10:30:12,2023-11-14 10:30:14,1.822s,PASSED
"sendKeys(findTestObject(""Home-Setup/Search-add-values""), Keys.chord(ENTER))",Chrome 119.0.0.0,,,2023-11-14 10:30:14,2023-11-14 10:30:17,2.304s,PASSED
"waitForElementClickable(findTestObject(""Home-Setup/Diana Turney""), 10)",Chrome 119.0.0.0,,,2023-11-14 10:30:17,2023-11-14 10:30:20,3.617s,PASSED
"click(findTestObject(""Home-Setup/Diana Turney""))",Chrome 119.0.0.0,,,2023-11-14 10:30:20,2023-11-14 10:30:21,0.384s,PASSED
"waitForElementPresent(findTestObject(""IFrames/setup-users""), 10)",Chrome 119.0.0.0,,,2023-11-14 10:30:21,2023-11-14 10:30:22,1.535s,PASSED
"switchToFrame(findTestObject(""IFrames/setup-users""), 10)",Chrome 119.0.0.0,,,2023-11-14 10:30:22,2023-11-14 10:30:23,0.832s,PASSED
"click(findTestObject(""IFrames/login button""))",Chrome 119.0.0.0,,,2023-11-14 10:30:23,2023-11-14 10:30:23,0.176s,PASSED
switchToDefaultContent(),Chrome 119.0.0.0,,,2023-11-14 10:30:23,2023-11-14 10:30:23,0.115s,PASSED
"delay(10, STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-14 10:30:23,2023-11-14 10:30:33,10.006s,PASSED
"click(findTestObject(""Service-Console/search catagory""))",Chrome 119.0.0.0,,,2023-11-14 10:30:33,2023-11-14 10:30:34,0.416s,PASSED
"click(findTestObject(""Service-Console/Billing-Account-Search-Box""))",Chrome 119.0.0.0,,,2023-11-14 10:30:34,2023-11-14 10:30:34,0.669s,PASSED
"waitForElementPresent(findTestObject(""Service-Console/Search box""), 10)",Chrome 119.0.0.0,,,2023-11-14 10:30:34,2023-11-14 10:30:35,0.471s,PASSED
"setText(findTestObject(""Service-Console/Search box""), ""188051"")",Chrome 119.0.0.0,,,2023-11-14 10:30:35,2023-11-14 10:30:35,0.713s,PASSED
"sendKeys(findTestObject(""Service-Console/Search box""), Keys.chord(ENTER))",Chrome 119.0.0.0,,,2023-11-14 10:30:35,2023-11-14 10:30:37,1.289s,PASSED
"waitForElementClickable(findTestObject(""Service-Console/Billing-Account""), 10)",Chrome 119.0.0.0,,,2023-11-14 10:30:37,2023-11-14 10:30:38,1.177s,PASSED
"elementsWithText = getWebDriver().findElements(By.xpath(""//a[@title=""188051""]""))",Chrome 119.0.0.0,,,2023-11-14 10:30:38,2023-11-14 10:30:38,0.301s,PASSED
if (elementsWithText.size() > 0),Chrome 119.0.0.0,,,2023-11-14 10:30:38,2023-11-14 10:30:38,0.089s,PASSED
"click(findTestObject(""Billing-Account-Num/Button-List/Button-List-Dropdwn""))",Chrome 119.0.0.0,,,2023-11-14 10:30:38,2023-11-14 10:30:40,1.935s,PASSED
"click(findTestObject(""Billing-Account-Num/Button-List/Concession""))",Chrome 119.0.0.0,,,2023-11-14 10:30:40,2023-11-14 10:30:41,0.685s,PASSED
"switchToFrame(findTestObject(""IFrames/Concession/Concession-Managment""), 10)",Chrome 119.0.0.0,,,2023-11-14 10:30:41,2023-11-14 10:30:42,1.508s,PASSED
