Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
STM-2485,Chrome 119.0.0.0,,,2023-11-14 10:25:38,2023-11-14 10:27:48,2m - 10.627s,FAILED
,,,,,,,
Test Cases/Concession-Managment/STM-2485/STM-2485-Iteration1,Chrome 119.0.0.0,,,2023-11-14 10:25:38,2023-11-14 10:26:19,40.710s,FAILED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-14 10:25:39,2023-11-14 10:25:42,3.488s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-14 10:25:42,2023-11-14 10:25:42,0.166s,PASSED
"navigateToUrl(""https://southeastwater--full2.sandbox.lightning.force.com/lightning/page/home"")",Chrome 119.0.0.0,,,2023-11-14 10:25:42,2023-11-14 10:25:43,0.620s,PASSED
"waitForPageLoad(10, STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-14 10:25:43,2023-11-14 10:25:44,0.832s,PASSED
"click(findTestObject(""Page_Login  Salesforce/Input-Username""))",Chrome 119.0.0.0,,,2023-11-14 10:25:44,2023-11-14 10:25:45,0.772s,PASSED
"setText(findTestObject(""Page_Login  Salesforce/input-username-Text""), ""hamid.samavat@kjr.com.au"")",Chrome 119.0.0.0,,,2023-11-14 10:25:45,2023-11-14 10:25:45,0.740s,PASSED
"click(findTestObject(""Page_Login  Salesforce/input-username-next""))",Chrome 119.0.0.0,,,2023-11-14 10:25:45,2023-11-14 10:25:46,0.389s,PASSED
"click(findTestObject(""Page_Login  Salesforce/input_Password_pw""))",Chrome 119.0.0.0,,,2023-11-14 10:25:46,2023-11-14 10:25:47,1.033s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login  Salesforce/input_Password_pw""), ""1SfOns6koWoi404fwi/OCQ=="")",Chrome 119.0.0.0,,,2023-11-14 10:25:47,2023-11-14 10:25:47,0.435s,PASSED
"click(findTestObject(""Object Repository/Page_Login  Salesforce/input_Password_Login""))",Chrome 119.0.0.0,,,2023-11-14 10:25:47,2023-11-14 10:25:48,0.837s,PASSED
delay(15),Chrome 119.0.0.0,,,2023-11-14 10:25:48,2023-11-14 10:26:03,15.066s,PASSED
"click(findTestObject(""Page_Login  Salesforce/Yes button""))",Chrome 119.0.0.0,,,2023-11-14 10:26:03,2023-11-14 10:26:08,4.995s,PASSED
"click(findTestObject(""home page/Gear icon""))",Chrome 119.0.0.0,,,2023-11-14 10:26:08,2023-11-14 10:26:11,2.496s,PASSED
"click(findTestObject(""home page/Setup""))",Chrome 119.0.0.0,,,2023-11-14 10:26:11,2023-11-14 10:26:11,0.710s,PASSED
"click(findTestObject(""Home-Setup/Search""))",Chrome 119.0.0.0,,,2023-11-14 10:26:11,2023-11-14 10:26:14,3.061s,PASSED
switchToWindowIndex(1),Chrome 119.0.0.0,,,2023-11-14 10:26:14,2023-11-14 10:26:14,0.050s,PASSED
"setText(findTestObject(""Home-Setup/Search-add-values""), ""Diana Turney"")",Chrome 119.0.0.0,,,2023-11-14 10:26:14,2023-11-14 10:26:15,0.995s,PASSED
"sendKeys(findTestObject(""Home-Setup/Search-add-values""), Keys.chord(ENTER))",Chrome 119.0.0.0,,,2023-11-14 10:26:15,2023-11-14 10:26:16,1.145s,PASSED
